nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_405	  1007.593963628	   139.985701349	     5.203825079
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_266	   776.890865175	   118.113525193	     2.401821006
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   731.805686171	   126.290093688	     6.835700011	 1
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   728.473713099	   117.783549076	    23.214724436
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_304	   982.630401043	   139.618468350	     5.581517519
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_53	   710.596833700	   121.037155390	    59.234286282
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_342	   763.519259631	   101.265527600	     1.620426641
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_106	   750.126317283	   117.558055653	    88.108792933
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_159	   814.455796252	   122.256490528	    39.985284439
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_212	   626.824656314	   115.999967624	    88.235491945
nl_bookIII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_265	   810.603628926	   110.181946044	    57.984058282
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   850.392931785	   122.850566515	     3.384686616	 1
